Bedrijfsnaam;Plaats;Business unit
;;
Avoord;ETTEN-LEUR;Administratief
BAR-Organisatie;RIDDERKERK;Administratief
Baak Facilities B.V.;RIDDERKERK;Schoonmaak
Clazing Kant en Klaar Producten B.V.;ZEVENHUIZEN ZH;Pluimvee
Cor Voet B.V.;OOSTZAAN;Overige
De Bonte Kip Zevenhuizen B.V.;ZEVENHUIZEN ZH;Pluimvee
Dienstverlening Van Adrichem B.V.;DORDRECHT;Schoonmaak
Docent Direct;ROTTERDAM;Administratief
Dutch Chicken BV;SOEST;Pluimvee
Erasmus MC;ROTTERDAM;Administratief
Exportslachterij Clazing B.V.;ZEVENHUIZEN ZH;Pluimvee
F. Wellink Lekkerkerk BV;LEKKERKERK;Flex Support
Facility Sourcing;BREDA;Administratief
Free Mind Event Support & Productions;WADDINXVEEN;Overige
GMS Noord;HURDEGARYP;Overige
Gebr. Eikens;SASSENHEIM;Flex Support
Gebr. Veldhoven;ZEVENHUIZEN ZH;Pluimvee
Gemeenschappelijke Regeling Cure;EINDHOVEN;Administratief
Glansschoon Bedrijfs-Service v.o.f.;BARENDRECHT;Schoonmaak
Groenendijk Microfilm- en Scanservice BV;SLIEDRECHT;Overige
Hoverniersbedrijf MFlora;GOUDA;Overige
IMCD Group B.V.;ROTTERDAM;Administratief
J.A. Jonker Schildersbedrijf B.V.;ROTTERDAM;Overige
Luiten Food B.V.;LEIDSCHENDAM;Overige
MKE-Groep B.V.;DEN HOORN ZH;Overige
Meerwijk Schoonmaak Bedrijf B.V.;UTRECHT;Schoonmaak
Moderne Tuinen - Verzijlenberg van Antwe;MOORDRECHT;Overige
Multiuse Schoonmaak & Facilitair;ROTTERDAM;Schoonmaak
ORS Lek en Linge;GELDERMALSEN;Administratief
Organique B.V.;CAPELLE AAN DEN IJSSEL;Administratief
P4S Bedrijfsdiensten B.V.;VLAARDINGEN;Schoonmaak
PatatoNext;OUD-BEIJERLAND;Overige
Paul & Paul;BERGSCHENHOEK;Overige
Paul Management & Infra B.V.;ZEVENHUIZEN ZH;Overige
Pelican Rouge Coffee Roasters B.V.;DORDRECHT;Overige
Pluimveeslachterij C. van Miert B.V.;BREUKELEN UT;Pluimvee
Pluimveeslachterij Mieki Hunsel B.V.;HUNSEL;Pluimvee
Pluimveeverwerking Jan van Ee B.V.;STROE;Pluimvee
Respect Cleaning Services BV;UTRECHT;Schoonmaak
Romaro Industriele Service B.V.;RIDDERKERK;Schoonmaak
Romaro Schoonhouden Gebouwen B.V.;RIDDERKERK;Schoonmaak
Schoonmaakbedrijf Van Adrichem BV;DORDRECHT;Schoonmaak
Stacked B.V.;ROTTERDAM;Horeca
Stadion Feijenoord N.V.;ROTTERDAM;Administratief
Stichting Thebe Wonen en Zorg;TILBURG;Overige
Swartberg;ROTTERDAM;Overige
T. Boer & Zn.;NIEUWERKERK AD IJSSEL;Flex Support
Van Adrichem Catering BV;DORDRECHT;Overige
Vasenna B.V.;HOEK VAN HOLLAND;Administratief
Vleesbewerking van der Pijl;CAPELLE AAN DEN IJSSEL;Vlees
Zainab Foods;BREUKELEN UT;Overige
Zetzetin;'S-GRAVENHAGE;Administratief
